date,pages,page,id
1/1/2018,0,,
1/2/2018,0,,
1/3/2018,49,49,The Tao of Bill Murray
1/4/2018,51,100,The Tao of Bill Murray
1/5/2018,75,175,The Tao of Bill Murray
1/6/2018,30,205,The Tao of Bill Murray
1/7/2018,43,248,The Tao of Bill Murray
1/8/2018,62,310,The Tao of Bill Murray
1/9/2018,17,327,The Tao of Bill Murray
1/10/2018,38,38,Vision and Art: The Biology of Seeing
1/11/2018,43,81,Vision and Art: The Biology of Seeing
1/11/2018,31,31,The Signal and the Noise
1/12/2018,30,61,The Signal and the Noise
1/13/2018,0,,
1/14/2018,0,,
1/15/2018,30,30,"""1984"""
1/15/2018,21,82,The Signal and the Noise
1/16/2018,34,64,"""1984"""
1/17/2018,41,105,"""1984"""
1/18/2018,31,136,"""1984"""
1/19/2018,0,,
1/20/2018,31,167,"""1984"""
1/21/2018,57,224,"""1984"""
1/22/2018,58,282,"""1984"""
1/22/2018,7,89,The Signal and the Noise
1/23/2018,32,314,"""1984"""
1/24/2018,58,58,The Old Man and the Sea
1/25/2018,59,117,The Old Man and the Sea
1/26/2018,13,94,Vision and Art: The Biology of Seeing
1/27/2018,9,116,Vision and Art: The Biology of Seeing
1/27/2018,48,137,The Signal and the Noise
1/28/2018,28,28,The Martian
1/28/2018,29,29,Clapton
1/29/2018,58,86,The Martian
1/30/2018,91,177,The Martian
1/31/2018,35,35,On the Road
1/31/2018,46,223,The Martian
2/1/2018,37,72,On the Road
2/1/2018,50,273,The Martian
2/2/2018,30,102,On the Road
2/3/2018,37,310,The Martian
2/3/2018,19,121,On the Road
2/4/2018,0,,
2/5/2018,58,368,The Martian
2/5/2018,10,131,On the Road
2/6/2018,53,184,On the Road
2/7/2018,48,232,On the Road
2/8/2018,30,262,On the Road
2/9/2018,31,293,On the Road
2/10/2018,62,91,Clapton
2/11/2018,89,180,Clapton
2/12/2018,95,275,Clapton
2/13/2018,53,328,Clapton
2/14/2018,53,169,Vision and Art: The Biology of Seeing
2/15/2018,46,46,Ready Player One
2/16/2018,30,76,Ready Player One
2/17/2018,0,,
2/18/2018,0,,
2/19/2018,98,174,Ready Player One
2/20/2018,152,326,Ready Player One
2/21/2018,46,372,Ready Player One
2/22/2018,36,36,The Bielski Brothers
2/23/2018,40,76,The Bielski Brothers
2/24/2018,33,109,The Bielski Brothers
2/25/2018,0,,
2/26/2018,111,220,The Bielski Brothers
2/27/2018,63,283,The Bielski Brothers
2/28/2018,52,221,Vision and Art: The Biology of Seeing
3/1/2018,41,41,The Fifth Season
